comments,ratings
ăn phở tại đây vào 1 chiều mưa lất phất nên rất hợp không khí. nghe nói đây là quán nổi tiếng về phở đúng chất hà nội  tuy nhiên mình ăn thì lại thấy không hợp khẩu vị. nước lèo rất béo nhưng lại không đậm đà kiểu nước hầm xương mà chỉ thấy hơi mặn vị muối  thịt thì quá mỏng và mỡ nhiều gây ngán. xôi ở đây thì khô quá  có các thứ ăn kèm xôi thì cũng  được  nhưng nhiều quá lại đâm ra ngán.,4
"📍nằm gần bên coopmart nguyễn đình chiểu  gửi xe ngay trước quán luôn.
không gian bên trong trang trí khá đẹp  mô phỏng lại đường phố hà nội 😌 quán cũng không đông khách lắm đâu

🍽 vì mình thích ăn phở  đặc biệt là phở bắc nên để tìm được quán bán phở đúng kiểu bắc ở sg cũng không thấy nhiều.
phở thìn thì theo mình cũng giống được 80 90% rồi. 
mình gọi là phở tái  phở ăn ổn  được nêm nếm điều chỉnh lại để hợp với trong nam hơn rồi 😌 
được cái có quẩy đúng kiểu ngoài bắc luôn 
nói chung là ăn được  chứ không ngon như mình nghĩ

💰 giá khá là mắc
nhân viên thì lơ là lóng ngóng",7
"uống 2 năm ở đây rr mà không lần nào thắt vọng như v!!!
trà sữa thì lúc ngọt quá lúc nhạt quá
quán đông khách quá nên phục vụ cũng chậm",4
"+mình thấy mấy bạn nhận xét quán không tốt nhưng riêng mình cảm nhận sao thì nói vậy : 
 - đôi lúc quán đông thiệt nhưng mình thấy mấy bạn cực nhiệt tình luôn
 - ăn uống mà muốn ngon và giá cả hợp lý là phải đợi thôi 


+ở đây bán sữa tươi trân châu đường đen ngon tuyệt vời 
 
ưu điểm :
+nếu bạn không thích trân châu đen thì đổi qua trân châu trắng giòn 
+ nhân viên nhiệt tình cực chiều khách 
+ có chỗ ngồi rộng rãi 
+ trân châu ngọt vừa phải mùi bí đao ngất ngây + sữa béo thơm 😜😜
+ giá cực rẻ 150 (500ml) 
 20 ( 700ml)
 250 ( 1 lít )
 > quán bỏ đá rất ít và sữa nhiều!!
👍🏾👍🏾 không như chỗ khác để đầy đá rồi đổ sữa có xíu là đầy ly nên mấy bạn an tâm về size bạn chọn 

 >>>> bảo đảm không làm bạn thất vọng <<<<<


> chắc chắn sẽ trở lại nhiều lần 👍🏾",10
hôm nay tự nhiên thèm sữa bắp  hỏi nhỏ bạn thì nó chỉ quán này có sữa bắp khá ngon nên đi mua thử.tới thì khách mua bánh mì đông quá trời  mình mua 2 chai sữa bắp 360 uống ngon lắm.bữa nào ghé ăn thử bánh mì nổi tiếng này thử.,10
món ăn tạm ổn  nhưng phục vụ quá chậm (mình phải huỷ món vì không thể đợi được)  gọi tính tiền cũng chậm khổng thể tưởng,3
mình với bạn hay thích đi cà phê thấy gần chỗ làm có cheese nên tấp vô luôn  giữ xe trước cửa hoặc gần đó và lúc về nhớ lấy thẻ giữ xe miễn phí nha. không gian bên trong cũng rộng rãi nhân viên luôn chào khách. có một điều mình không thích là lúc khách chưa về hết thì nhân viên quét dọn để bụi văng tùm lum  điều này có gì nhân viên chú ý dùm mình huhu. nước thì cũng không đến nổi tệ nhưng cũng bình thường ngon  lần nào kêu uống cũng dư hết trơn á. được cái phong cảnh cũng thoải mái ngồi làm bài này nọ.,7
"mình và bạn đến vào buổi trưa. vì đi 2 người nên lễ tân sắp cho ngồi tầng dưới với lý do trên lầu chỉ có bàn lớn. ngồi dưới thì hơi tối và mình nghĩ không được thoáng như tầng trên  nhưng không còn lựa chọn nào khác. mình  đặt  2 set ăn mực xào bơ tỏi và cá thu nướng muối ớt thì nhân viên báo hết mực  nên mình đổi qua set ăn có sushi. đồ uống thì gọi chanh dây và trà xanh. chanh dây khá ngon  trà xanh thì dễ uống  có lẽ do ít bột matcha nên không thấy đắng. thức ăn được dọn lên có cách bài trí rất đẹp mắt.
_ sushi ở đây ngon hơn những chỗ khác mình từng ăn  khác biệt lớn nhất ở phần cơm. cơm có giấm nên ăn không ngán  sushi ở aeon mall thì ăn mà ngán quá phải bỏ cơm lại  ăn cá không luôn ... 
_ cá thu được nướng vừa  không quá cháy  có trái tắc để vắt lên cá ... ăn kèm củ cải mài hơi lạ miệng  vì mình ăn chung mà thấy không hòa hợp lắm  cá vị nhạt tuy nướng muối ớt.
_ súp miso có nghêu  vị quá mặn . 
_trứng hấp thì mềm mịn như tàu hủ  có nấm đông cô ở giữa. 
_salad trộn dầu giấm và có chút mayonaise dễ ăn.
_rau củ kho nước tương gồm cà rốt  nấm đông cô  khoai tây kết hợp thịt băm . vị ngọt thanh ăn ổn. 
tổng thể thì mình hài lòng về chất lượng món ăn. nhân viên dễ thương  nói chuyện nhẹ nhàng.",8
mì quảng vừa ngon vừa rẻ vừa nhiều. tiệm cho rất nhiều rau luôn  nêm nếm vừa ăn  tôm thì không tươi lắm  gà hơi dai so với đứa răng yếu như mình  cá lóc ngon xuất sắc bữa giờ toàn ăn cá lóc,8
thứ 2 mình ghé đây  quán cũng không đông lắm. quán nằm ngay ngã tư  chố đèn xanh đèn đỏ nên khá là dễ thấy. có chổ để xe  có bảo vệ. trước quán có để mấy cái bàn ngồi ngoài vỉa hè  có cả phòng có máy lạnh. trong phòng có trang trí halloween. có 3 4 anh chị bán quán toàn xinh trai  đẹp gái nhưng lại không thân thiện  nhiệt tình gì cả. mình ngồi trong phòng  kêu 3 ly thập cẩm 150  lát không bk sao ra tính tiền thành 510 không hiểu lý do? nước bình thường  ra món hơi lâu. ấn tượng không tốt về 3 4 anh chị bán quán đó nên chắc sẽ không trở lại.,4
tương chuẩn luôn  lâu lắm rồi mới ăn được chỗ làm tương ngon vậy. tôm loại nhỏ này mới ngọt thịt  ham loại bự nó không ngon bằng đâu  nếu ai biết ăn.,10
quán ngon tuyệt,10
quán rất ngon  chất lượng và sạch sẽ nhất tôi từng ăn món bún cá nha trang,10
"quán này mình ghé qua khu chợ tân định có công việc nên mới vào ăn thử. công nhận quán bán bình dân nhưng vị ăn khá ngon nè. mình gọi dĩa thập cẩm là ăn muốn xỉu luôn.
gia vị rau khăn ăn muỗng đũa trên bàn khá là sạch và đầy đủ thật thích luôn.
nhân viên nhanh nhẹn gửi xe miễn phí món lên nhanh đúng thiệt đã!",10
"quán dễ thương nhỏ nhắn xinh xắn. 
anh chủ quán tư vấn nhiệt tình dễ mến. 
mình thích nhất là món hamburger và trà đào. 
quán ruột nên cho 10 đ",10
" là tiệm bánh online mà mình mới phát hiện gần đây nè. mình gọi 1 phần bông lan trứng muối với 1 bánh mì nhân phô mai h được kaido. phần bánh bông lan trứng muối hình chữ nhật có giá 80. cốt bánh mềm  không khô còn trứng muối thì làm nhuyễn rải đều mặt bánh  phô mai cắt viên nho nhỏ đầy đặn thêm lớp sốt phô mai ở trên nữa làm bánh không khô  ổ chữ nhật vậy 2-3 người ăn là  được  nha. còn bánh mì h được kaido thì hơi mềm nhưng hơi có mùi chua của men hay sao á  nhân kem mát lạnh beo béo làm ăn bánh không có cảm giác khô hay ngán  ổ vậy là 650 nha!
🔥 follow instagram @quinbeo để coi nhận xét đồ ăn thức uống mỗi ngày nha 🔥",8
"mình  đặt  ở đây 2 lần  lần đầu ăn thấy đồ ăn chế biến hơi ẩu 1 tẹo  không đuợc cho nuớc sốt nữa  ăn không ngon lắm. hôm nay  đặt  lại lần nữa thì thấy ăn ngon hơn đợt trước nhiều. mì đuợc làm kỹ hơn  có mùi bơ thoang thoảng  thêm lòng đỏ trứng vào và ăn với tóp mỡ béo chiều đói đói ăn xong thoả mãn ghê )) 
tuy nhiên thì canh vẫn loãng và nhạt như nước nha mặc dù biết mì là chính canh là món kèm ăn phụ nhưng huhu hy vọng lần tới  đặt  thì canh sẽ được nêm đậm đà hơn  nếu được vậy thì quán sẽ hoàn thiện hơn nhiều",8
"- không gian tuyệt đẹp và lãng mạng
- phục vụ nhiệt tình  dễ thương  chuyên nghiệp
- nhân viên thân thiện từ bãi giữ xe cho đến rooftop
- đồ ăn nấu nhìn chung là ngon  món nào nấu ăn cũng vừa miệng (những buffet khác không phải món nào cũng ngon)
- hải sản ở đây ăn ngon nhất chắc chỉ có cua tuyết
còn lại đều đã hấp sẵn để trên đá nên khi hấp lại ăn không ngon
và hôm mình đi thì cua ghẹ đều vị ốp và không ngon
à ở đây đồ ăn không nhiều nha đi 1 vòng là hết
hay tại mình đi vào thứ 3 nên ít đồ ăn hic hic 
tổng bill 2 người: miễn phí nước suối và nước ngọt  2 vang là 3.066.055 vnđ",8
tôi cảm thấy quán có nhiều ý tưởng mới cho sản phẩm của quán các món mới rất ngon tôi thích sự kết hợp của thanh trà sữa với tc phô mai nó rất ngon,10
"bạn mình có ăn qua nên dẫn mình đến để thử vì giá khá  được  mà ăn khá ngon nữa

gọi phần 2 người nè  khá nhiều và ăn no nha  đậu mình thích ăn giòn nên dặn bếp chiên giòn  mắm tôm ăn hoài mình thấy ở đâu cũng như nhau hết. chả cốm ở đây ngon mà 1 phần cho cũng nhiều nữa  bạn mình nói chả cốm ăn giống ngoài bắc nên ưng chả cốm ở đây lắm. thịt không nhiều mỡ nên cũng không có ngán lắm nè. mình gọi thêm chả giò ốc vì thấy lạ. bên trong nhân là ốc băm trộn với lá lốp nên thơm lắm  vị vừa ăn  ăn cucng thấy ngon và lạ miệng 

không gian quán hơi nhỏ  có lầu nha  quán ngay vòng xoay nên cũng không khó tìm lắm. nhân viên phục vụ bình thường.

giá khá  được  nha. phần 2 người 10. chả giò ốc 20 (3 cuốn). giá rẻ ăn được nha mọi người",8
chè ngon  sản phẩm đa dạng  sạch sẽ hợp vệ sinh   giá cả hợp lý phù hợp với mọi người  thiết kế ly bắt mắt đẹp   ăn uống tiện lợi phục vụ mọi lúc mọi nơi   chỉ cần thích là được .,8
mình đặt giao khi nhận hàng rất hài lòng vì để đá riêng  ly bự có nhìu chân châu  nước dừa ngọt thơm  trân châu và dừa nước dẻo dai rất ngon 🤤👍 sẽ ủng hộ dài lâu 😍,8
mình đặt qua  1 phần bánh khọt và 1 phần bánh xèo. lần đầu tiên mình được ăn bánh khọt có nước cốt dừa ở trên mặt bánh thì rất vừa miệng và ngon  bánh không có nhiều dầu  bột bánh bình thường dày gần giống bánh căn nhưng mình thích kiểu bánh khọt như vậy. nước chấm thì pha vừa miệng  ngon  đậm đà. bánh xèo tráng mỏng  to vừa phải  thịt tươi.,8
"-gửi xe miễn phí trong hẻm kế bên nha  bạn đơn bill cho nhân viên đóng dấu vào là được  được miễn phí 4 tiếng gửi xe đó

-kk gian theo mình là đẹp nhất trong mấy chi nhánh  nhân viên chuyên nghiệp  phục vụ tốt  vui vẻ. nhưng lại quên đưa nước lọc cho mình hoài @@ dạo này đi chi nhánh bên vincom cũng vậy

-bánh crepe 880 có nhiều sốt như xoài  dâu  choco  matcha nhưng theo mình xoài ngon nhất  dù thích matcha nhưng kết hợp với bánh này không ngon như xoài  bánh ngọt vừa  cốt bánh chắc chắn  sốt cũng thế ngọt vừa  thơm  rất dễ ăn

-matcha với sốt dâu và panna cotta 990 món này ngon nè  bạn cắm sâu ống hút  vừa uống được matcha  lớp dâu và lớp bánh  khá là ngon nha  không ngọt đâu  mình không thích dâu nhưng sự kết hợp này ổn nè

-matcha shirấtma là món mình hay uống nhất  không biết nói gì  tại ngon nên kêu hoài thôi )
-mình có thẻ tv đen nên được giảm 10% cũng tiết kiệm chút ít ha )",8
món này chắc ngon lắm,10
"quán này gần nhà mình ăn mấy năm rồi giờ mới nhận xétcho quán. quán này ở khu vườn rau gần công viên lê thị riêng nên quán cũng dễ kiếm. không gian quán rộng và thoáng đãng  gởi xe miễn phí. 
quán bán bún thịt nướng đồ ăn nhiều và ngon. mình thường mua mang về 2 phần ăn được 3 người mua thêm 1 phần bún thêm là no căng bụng luôn.
quán đông khách nhưng lúc nào cũng phục vụ nhanh chóng.",10
thích hợp nghỉ dưỡng với gia đình,10
"mới được nhỏ bạn dắt đi ăn ngon quá nên về chia vời mọi người liền. mà lên thấy mọi người cũng đã khen quán này khá nhiều.
vị rất ngon nhưng giá bình thường mắc
anh chị chủ rất dễ thương
không gian quán hơi nhỏ  nhưng khi được ăn ngon sẽ quên hết mọi thứ thôi. thấy có trên  nữa nên từ nay muốn ăn là  đặt  thôi",10
"highlands chi nhánh này mới mở gần đây thôi  theo mình thấy thì là 1 trong những quán highland tốt nhất ở thành phố mình giờ. 
về không gian: rất tốt không phải bàn  đây là chỗ rộng rãi nhất của highlands  nhiều chỗ ngồi  trần cao  máy lạnh mát  mặt bằng ngon  phong cảnh tốt ra đường 3/2.
về thức uống và nhân viên: pha tốt  2 lần mình đến đều uống cafe sữa đá thấy chất lượng pha rất ngon  uống khá đậm dành cho bạn nào uống không quen thì gọi ly nhỏ được rồi nha. nhân viên rất nhiệt tình tốt bụng  đặc biệt khi mình vào thì các bạn nhân viên đều ngừng tay lại chào làm mình có cảm giác ấm cúng thân thiện ghê 😂 
nói chung reward tốt cho chỗ này  sẽ còn trở lại 👍",10
"cả nhà mình đều thích ăn bún mắm ở đây  bún mắm thì thơm mùi mắm chứ không hôi  cà tím  cá phile  rau sống  tôm tươi  mực  heo quay đều đầy đủ. thích nhất là nước me và nước mắm ở đây. quán dùng ly nhựa 1 lần  rất vệ sinh  mình không uống chung ly ở các quán khác  quán giờ tan tầm rất đông  buổi trưa cũng vậy. chỗ để xe của quán hơi chật  thương cái anh hay đứng đầu đường cầm bảng chỉ đường của quán ghê! 
giá là 450/tô",8
"sushi ngon rẻ
quán lúc nào cũng rất đông nhưng phục vụ nhanh  không đợi quá lâu
rất vừa túi tiền cho 1 bữa sushi no nê :v",10
có lẽ là công thức mới đổi  li bên phải mình uống tầm 3 tháng trước rất thích  còn đợt này caramel cheese làm theo tầng nên hơi lạ  li trước đây mình bị giao lỗi nhưng liên hệ quán cũng nhiệt tình đổi lại li khác cho mình ❤️❤️ nên giờ vô đánh giá lại giúp quán 10 điểm dịch vụ ❤️❤️,10
"bữa lại ăn trưa với momy quán này mở trên 20 năm rồi nổi tiếng về các món khách gia của người hoa hai mẹ con gọi 4 món ăn với cơm trắng :
thú linh chiên giòn : hơi mặn nhưng giòn 
tôm lăn bột chiên giòn: có 5 con tôm rất lớn tươi lớp bột mỏng ăn không ngán
đậu hủ cuốn thịt: tạm được không ngán
dồi trường xào cải chua: chua và giòn giòn ăn ngon
giá cả hơi cao đó nha tôm 150 lận có 5 con  còn 3 món kia 80-950 một/1 món ăn xong tính tiền cơm trắng va nước gần 50 nhưng cũng ngon giữ xe 50 nhà đối diện
không gian tầng trên khá rộng sạch sẽ phục vụ nhanh lên món nhanh",8
quán này có bữa đi làm về đi ngang thấy cũng đông nên ghé vào ăn thử. ăn thì thấy cũng bình thường bình thường xuất sắc. chắc khẩu vị mỗi người khác nhau. 1 tô bún nước muối ớt nhỏ 350. bún nước cũng nhiều thịt bò tái  và quá nhiều hành lá  hành tây  và trứng lòng đào. hành quá nhiều nên nước súp chỉ đậm 1 mùi hành mà thôi. cũng mất ngon vị thịt bò. bánh canh chả cá ổn. ăn 1 lần cho biết vậy thôi chứ mình không thích món này. chắc mì trộn khô ăn ổn hơn.,4
phở ngon lắm à nước rất ngon,10
khát  nóng là chỉ có đi tìm rau má đậu ở rau má bà già  chỗ q5 gần nhà mình trưa hay tối khát là ra uống 1 ly béo thơm ngon hết sẩy,10
nước ngon  ly dễ thương,10
cá nhân mình thấy không ngon lắm:( chắc không hợp khẩu vị   giá hơi cao,3
mới đặt 5 phần.cọng mì ngon nhưng mỗi lần mua mỗi lần lên giá mà chỉ có 3 miếng thịt mỏng   mì bỏ chút xíu trong hộp đứa nhỏ 10 tuổi   phụ nữ ăn còn không no. phần mì này ít chỉ bằng 1/2 tô chỗ khác . nếu là sức nam phải 2 phần mới tạm no. nếu mà ăn 2 phần thì là 80 mấy không rồi  vậy đâu rẻ . đề nghị chủ coi lại phần mì do nhân viên viên bán nha .kêu mì khô mà không trộn gia vị gì chỉ bỏ dầu về phải tự chan nước tương ăn giống mì nước . bực quá nên mới lên nhận xét chứ không mình phàn nàn ở đây.,3
ngon.đẹp mắt quá,10
"hôm nay 2 vợ chồng ghé ăn theo gợi ý của một số trang web  cuối cùng đặt chỗ tại (để được giảm giá). quán có khung cảnh ổn  bàn ghế kê hơi chật  nhân viên thân thiện vui vẻ.
lúc hỏi chỗ rửa tay thì chỉ lên lầu nhưng hỡi ơi toilet chỉ có vòi nước chứ không có lavabo rửa tay  trừ điểm.
xuống gọi món  sau khi xem qua thực đơn mình quyết định chọn bánh xèo bà hai (850) và bánh xèo non nước (130).
2 vợ chồng ăn hết cái bánh xèo bà hai cũng cảm thấy tàm tạm. nhưng khi mang ra bánh xèo non nước thì 2 vợ chồng nhìn nhau cười  giống món rau xào thịt thập cẩm để trong cái bánh xèo thì đúng hơn  rất nhiều dầu mỡ  vị rất chán vì các món xào không hợp nhau  còn được khuyến mãi thêm thịt ruồi đen nữa (ọe).
2 vợ chồng ăn không hết nữa cái vì quá ngán  mình quay ra hỏi quán có nơi rửa tay nào khác không thì nhân viên chỉ ra cái lu trước quán ( không thể rửa được dầu mỡ)  hic hic. quán lâu đời thế mà không bố trí được 1 chỗ rửa tay cho đàng hoàng.
2 vợ chồng quyết định một đi không trở lại.",1
chờ mãi mới có dịp để ủng hộ đồ ăn của quán. đứa bạn nó khao nên đặt đồ ăn ở đây về để ăn trưa. nhóm bạn ai cũng khen yêu  yêu . đồ ăn ngon  có cả rau canh đầy đủ. giá cả ngon nghẻ  sẽ ghé quán nhiều!,10
hôm nay đẹp trời được con bạn dắt đi ăn bánh xèo tôm nhảy nghe tên cũng có vẻ hấp dẫn nên cũng đi được ăn miễn phí mà...... hihihihi. quán đông nên chờ hơi lâu. bánh xèo giòn ngon kết hợp với nước chấm rất đậm đà.sẽ rủ các bạn của mình tới ăn.,10
"phá lấu dì mũi ngon có tiếng rồi nên qua đây ăn thử. đường vào có hơi rối chút nhưng mà tới ăn rồi thấy xứng đáng với công bỏ ra. quán có chỗ để xe rộng rãi  bàn ghế dọn ngay hẻm cụt và trong nhà nên không sợ xe hốt.
nước phá lấu đậm đà  nhiều lòng. chấm bánh mì ăn là ngon hết sảy. nước tắc chấm phá lấu ở đây ngon  chua chua át đi cái béo dễ gây ngán của lòng.
phá lấu chiên không ngon bằng phá lấu nước do quá béo và gắt dầu.
quán dễ nhận ra lắm tại trước cửa quán có chú kia đứng ngoắc nên biết ngay à.",10
"beefsteak mình ăn medium rare  rất ngon nha  ướp thơm và vừa miệng  hợp khẩu vị người***mì ý sốt bò bằm cà chua cũng ngon luôn  sốt cà chua rất thơm  mì cũng nhiều nữa
salad trộn dầu giấm rất thơm và vừa miệng
giá cả không đắt nha  phù hợp chất lượng",10
biết đến quán này qua now mình thấy đồ ăn ở đây ổn  có khá nhiều loại khác nhau nên lựa chọn thoải mái  mỗi ngày 1 món khá ngon nữa  điểm cộng tiếp là quán đóng gói đồ ăn cẩn thận  giữ đồ ăn nóng hổi nên cơm dẻo và ngon 🤗🤗,10
"- vị trí: nằm ở khu khá đông đúc  nhiều đồ ăn. 

 - không gian: khá sạch sẽ  sáng hơn so với mấy quán gần kề. bên trong hơi ngộp nên mình ngồi ngoài  một lát sau có mưa nên nhân viên kéo mái che ra  vừa mát vừa không dính mưa nữa hehe. 

- thức ăn: hai đĩa bánh ướt và bánh cuốn cơ bản là giống nhau phần bánh  chả lụa  chả quế  nem  bánh tôm và các loại rau giá. bánh cuốn thì có thêm thịt nữa nên mình thấy đĩa này ngon hơn hehe. 

- nhân viên: ra món hơi chậm.",8
thích cafe phin sữa đá ở đây. các đồ uống khác cũng ngon nữa. mà nay thấy mấy bé phục vụ dễ thương quá nên phải vô oánh giá ngay hehe. không gian rộng đẹp.,10
"quán to  không gian rộng rãi mà menu giá  được  lắm nếu không muốn nói là rẻ
lẩu có 50-550/cái mà cũng đầy đủ. nếu chỉ ăn lẩu thì đi 2 người là  được  đó
cua cà mau 190/kg bao ăn luôn  cua chắc  ngọt thịt
buổi tối quán đông ơi là đông  nhân viên phục vụ cũng  được 
sẽ trở lại",10
